name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car1,0.966666,0,radar,,,,5.83953,2.45756,-4.08147,2.73374,-4.89301,4.01653,5.2775,-0.00547584,-0.0762631
car2,0.966666,0.033333,lidar,19.0835,-4.07302,0.41412,,,,,19.0116,-4.01682,-6.13488,0.0260904,0.0927728
car2,0.966666,0,radar,,,,18.8983,-0.211059,-5.87207,3.19855,19.0056,-4.01757,-6.12575,0.0276097,0.0960965
car3,0.966666,0.033333,lidar,-10.6977,0.0508507,0.47473,,,,,-10.7654,0.117148,1.81163,0.0820299,-0.296173
car3,0.966666,0,radar,,,,10.2637,3.12654,-1.85946,3.81399,-10.7559,0.117345,1.85078,0.079226,-0.299398
car1,1,0.033334,lidar,-4.72521,3.68115,4.35215,,,,,-4.73478,3.97419,5.18499,-0.0356701,-0.121836
car1,1,0,radar,,,,6.14523,2.45619,-3.72607,1.24056,-4.74408,3.97525,5.09349,-0.0315178,-0.110406
car2,1,0.033334,lidar,18.8415,-4.31885,3.07042,,,,,18.7945,-4.09114,-6.16328,0.0746745,0.169013
car2,1,0,radar,,,,19.1434,-0.196875,-5.56032,1.35722,18.8002,-4.09438,-6.07783,0.0792944,0.179501
car3,1,0.033334,lidar,-10.6775,-0.171085,2.90923,,,,,-10.6943,0.0510484,1.80712,-0.102041,-0.574754
car3,1,0,radar,,,,10.6425,3.14057,-1.62606,1.16857,-10.6962,0.0448464,1.76977,-0.120516,-0.609292
car1,1.03333,0.033333,lidar,-4.74507,3.8497,1.63842,,,,,-4.59765,3.94735,5.00858,-0.0515822,-0.13776
car1,1.03333,0,radar,,,,6.38184,2.41801,-3.78367,1.54756,-4.59817,3.95992,4.98914,-0.0421325,-0.120802
car2,1.03333,0.033333,lidar,18.446,-4.1503,1.00128,,,,,18.5872,-4.12506,-6.10842,0.0944767,0.194445
car2,1.03333,0,radar,,,,19.3179,-0.218704,-5.66605,0.977166,18.5934,-4.12927,-6.06913,0.0978193,0.200791
car3,1.03333,0.033333,lidar,-10.8081,0.0223642,1.20124,,,,,-10.6493,0.0341257,1.74734,-0.146482,-0.62003
car3,1.03333,0,radar,,,,10.9481,3.11851,-1.80995,2.05795,-10.6512,0.0381695,1.77257,-0.133153,-0.596134
car1,1.06667,0.033333,lidar,-4.25777,4.10075,1.97098,,,,,-4.40771,3.9778,5.07821,-0.0281038,-0.091319
car1,1.06667,0,radar,,,,6.30982,2.39276,-4.39889,4.38698,-4.40039,3.97439,5.19745,-0.0363581,-0.112011
car2,1.06667,0.033333,lidar,18.5572,-3.89925,3.18448,,,,,18.4117,-4.08951,-5.99844,0.0674481,0.14237
car2,1.06667,0,radar,,,,19.1821,-0.226771,-6.33423,4.10896,18.4037,-4.08489,-6.14681,0.0615127,0.129779
car3,1.06667,0.033333,lidar,-10.4294,0.29931,3.62942,,,,,-10.5842,0.0906189,1.79504,-0.0195541,-0.389437
car3,1.06667,0,radar,,,,10.9408,3.11013,-2.55611,7.51084,-10.5714,0.0926594,2.00761,-0.0145168,-0.384705
car1,1.1,0.033334,lidar,-4.25189,3.80831,1.01609,,,,,-4.23704,3.94924,5.15453,-0.0523574,-0.131075
car1,1.1,0,radar,,,,6.3217,2.37678,-3.75838,3.50014,-4.23868,3.96487,5.13367,-0.0413519,-0.112355
car2,1.1,0.033334,lidar,18.1864,-4.19169,0.309759,,,,,18.1956,-4.11855,-6.16523,0.0779925,0.1485
car2,1.1,0,radar,,,,19.1283,-0.224677,-5.75192,2.54921,18.2044,-4.12268,-6.12294,0.080782,0.153392
car3,1.1,0.033334,lidar,-10.5302,0.0337569,0.138124,,,,,-10.5072,0.0779829,2.00449,-0.0555702,-0.427786
car3,1.1,0,radar,,,,11.013,3.11182,-2.05158,3.83151,-10.5125,0.0787495,2.01633,-0.0525841,-0.424127
car1,1.13333,0.033333,lidar,-3.93181,3.87677,1.04193,,,,,-4.05766,3.95492,5.15916,-0.0454532,-0.112137
car1,1.13333,0,radar,,,,5.27615,2.4034,-3.34805,5.14308,-4.0721,3.94937,5.01977,-0.0442407,-0.103702
car2,1.13333,0.033333,lidar,18.1293,-4.12323,0.682829,,,,,18.0104,-4.13214,-6.09922,0.081272,0.146352
