name,x,y,v,angle,acc
car1,8.20235,1.7168,5.85001,-0.585001,0
car2,4.6,-4,-6,0,0
car3,0.369689,4.00964,7.70001,-0.0083335,2
car1,8.36492,1.60912,5.85001,-0.565501,0
car2,4.4,-4,-6,0,0
car3,0.626347,4.0075,7.76667,-0.0083335,2
car1,8.52957,1.50463,5.85001,-0.546001,0
car2,4.2,-4,-6,0,0
car3,0.885227,4.00535,7.83334,-0.0083335,2
car1,8.69622,1.40337,5.85001,-0.526501,0
car2,4,-4,-6,0,0
car3,1.14633,4.00317,7.9,-0.0083335,2
car1,8.86481,1.30538,5.85001,-0.507001,0
car2,3.8,-4,-6,0,0
car3,1.40965,4.00098,7.96667,-0.0083335,2
car1,9.03528,1.2107,5.85001,-0.487501,0
car2,3.6,-4,-6,0,0
car3,1.6752,3.99876,8.03334,-0.0083335,2
car1,9.20756,1.11935,5.85001,-0.468001,0
car2,3.4,-4,-6,0,0
car3,1.94297,3.99653,8.10001,-0.0083335,2
car1,9.38159,1.03139,5.85001,-0.448501,0
car2,3.2,-4,-6,0,0
car3,2.21296,3.99428,8.16667,-0.0083335,2
car1,9.55731,0.946834,5.85001,-0.429001,0
car2,3,-4,-6,0,0
car3,2.48517,3.99201,8.23334,-0.0083335,2
car1,9.73464,0.865721,5.85001,-0.409501,0
car2,2.8,-4,-6,0,0
car3,2.75961,3.98973,8.3,-0.0083335,2
car1,9.91352,0.788081,5.85001,-0.390001,0
car2,2.6,-4,-6,0,0
car3,3.03626,3.98742,8.36667,-0.0083335,2
car1,10.0939,0.713944,5.85001,-0.370501,0
car2,2.4,-4,-6,0,0
car3,3.31514,3.9851,8.43334,-0.0083335,2
car1,10.2756,0.643338,5.85001,-0.351001,0
car2,2.2,-4,-6,0,0
car3,3.59625,3.98275,8.5,-0.0083335,2
car1,10.4588,0.576289,5.85001,-0.331501,0
car2,2,-4,-6,0,0
car3,3.87957,3.98039,8.56667,-0.0083335,2
car1,10.6431,0.512824,5.85001,-0.312001,0
car2,1.8,-4,-6,0,0
car3,4.16511,3.97801,8.63334,-0.0083335,2
car1,10.8287,0.452966,5.85001,-0.292501,0
car2,1.6,-4,-6,0,0
car3,4.45288,3.97561,8.7,-0.0083335,2
car1,11.0154,0.396738,5.85001,-0.273001,0
car2,1.4,-4,-6,0,0
car3,4.74287,3.9732,8.76667,-0.0083335,2
car1,11.2032,0.344162,5.85001,-0.253501,0
car2,1.2,-4,-6,0,0
car3,5.03509,3.97076,8.83334,-0.0083335,2
car1,11.392,0.295257,5.85001,-0.234001,0
car2,0.999998,-4,-6,0,0
car3,5.32952,3.96831,8.9,-0.0083335,2
car1,11.5817,0.250042,5.85001,-0.2145,0
car2,0.799998,-4,-5.9,0,3
car3,5.62618,3.96584,8.96667,-0.0083335,2
car1,11.7722,0.208534,5.85001,-0.195,0
car2,0.603331,-4,-5.8,0,3
car3,5.92505,3.96335,9.03334,-0.0083335,2
car1,11.9635,0.17075,5.85001,-0.1755,0
car2,0.409998,-4,-5.7,0,3
car3,6.22616,3.96084,9.1,-0.0083335,2
car1,12.1555,0.136702,5.85001,-0.156,0
car2,0.219998,-4,-5.6,0,3
car3,6.52948,3.95831,9.16667,-0.0083335,2
car1,12.3481,0.106406,5.85001,-0.1365,0
car2,0.0333311,-4,-5.5,0,3
car3,6.83502,3.95576,9.23334,-0.0083335,2
car1,12.5413,0.0798705,5.85001,-0.117,0
car2,-0.150002,-4,-5.4,0,3
car3,7.14279,3.9532,9.3,-0.0083335,2
car1,12.735,0.0571074,5.85001,-0.0975002,0
car2,-0.330002,-4,-5.3,0,3
car3,7.45278,3.95061,9.36667,-0.0083335,2
car1,12.9291,0.038125,5.85001,-0.0780002,0
car2,-0.506669,-4,-5.2,0,3
car3,7.76499,3.94801,9.43334,-0.0083335,2
car1,13.1235,0.0229303,5.85001,-0.0585001,0
car2,-0.680002,-4,-5.1,0,3
car3,8.07943,3.94539,9.5,-0.0083335,2
car1,13.3182,0.0115293,5.85001,-0.0390001,0
car2,-0.850002,-4,-5,0,3
car3,8.39608,3.94275,9.56667,-0.0083335,2
car1,13.513,0.0039262,5.85001,-0.0195,0
car2,-1.01667,-4,-4.9,0,3
car3,8.71496,3.94009,9.63334,-0.0083335,2
car1,13.708,0.000123929,5.85001,7.45058e-09,0
car2,-1.18,-4,-4.8,0,3
car3,9.03606,3.93742,9.7,-0.0083335,2
car1,13.903,0.00012393,5.78334,7.45058e-09,-2
car2,-1.34,-4,-4.7,0,3
car3,9.35938,3.93472,9.76667,-0.0083335,2
car1,14.0957,0.000123932,5.71668,7.45058e-09,-2
car2,-1.49667,-4,-4.6,0,3
car3,9.68493,3.93201,9.83334,-0.0083335,2
car1,14.2863,0.000123933,5.65001,7.45058e-09,-2
car2,-1.65,-4,-4.5,0,3
car3,10.0127,3.92928,9.9,-0.0083335,2
car1,14.4746,0.000123935,5.58334,7.45058e-09,-2
car2,-1.8,-4,-4.4,0,3
car3,10.3427,3.92653,9.9,-0.0083335,0
car1,14.6607,0.000123936,5.51668,7.45058e-09,-2
car2,-1.94667,-4,-4.3,0,3
car3,10.6727,3.92378,9.9,-0.0083335,0
car1,14.8446,0.000123937,5.45001,7.45058e-09,-2
car2,-2.09,-4,-4.2,0,3
car3,11.0027,3.92103,9.9,-0.0083335,0
car1,15.0263,0.000123939,5.38335,7.45058e-09,-2
car2,-2.23,-4,-4.1,0,3
car3,11.3326,3.91828,9.9,-0.0083335,0
car1,15.2057,0.00012394,5.31668,7.45058e-09,-2
car2,-2.36667,-4,-4,0,3
car3,11.6626,3.91553,9.9,-0.0083335,0
car1,15.383,0.000123941,5.25001,7.45058e-09,-2
car2,-2.5,-4,-3.9,0,3
car3,11.9926,3.91278,9.9,-0.0083335,0
car1,15.558,0.000123943,5.18335,7.45058e-09,-2
car2,-2.63,-4,-3.8,0,3
car3,12.3226,3.91003,9.9,-0.0083335,0
car1,15.7307,0.000123944,5.11668,7.45058e-09,-2
car2,-2.75667,-4,-3.7,0,3
car3,12.6526,3.90728,9.9,-0.0083335,0
car1,15.9013,0.000123945,5.05001,7.45058e-09,-2
car2,-2.88,-4,-3.6,0,3
car3,12.9826,3.90453,9.9,-0.0083335,0
car1,16.0696,0.000123947,4.98335,7.45058e-09,-2
car2,-3,-4,-3.5,0,3
car3,13.3126,3.90178,9.9,-0.0083335,0
car1,16.2357,0.000123948,4.91668,7.45058e-09,-2
car2,-3.11667,-4,-3.4,0,3
car3,13.6426,3.89903,9.9,-0.0083335,0
car1,16.3996,0.000123949,4.85001,7.45058e-09,-2
car2,-3.23,-4,-3.3,0,3
car3,13.9726,3.89628,9.9,-0.0083335,0
car1,16.5613,0.00012395,4.78335,7.45058e-09,-2
car2,-3.34,-4,-3.2,0,3
car3,14.3025,3.89353,9.9,-0.0083335,0
car1,16.7208,0.000123951,4.71668,7.45058e-09,-2
car2,-3.44667,-4,-3.1,0,3
car3,14.6325,3.89078,9.9,-0.0083335,0
car1,16.878,0.000123953,4.65001,7.45058e-09,-2
car2,-3.55,-4,-3,0,3
car3,14.9625,3.88803,9.9,-0.0083335,0
car1,17.033,0.000123954,4.58335,7.45058e-09,-2
car2,-3.65,-4,-2.9,0,3
car3,15.2925,3.88528,9.9,-0.0083335,0
car1,17.1858,0.000123955,4.51668,7.45058e-09,-2
car2,-3.74667,-4,-2.8,0,3
car3,15.6225,3.88253,9.9,-0.0083335,0
car1,17.3363,0.000123956,4.45001,7.45058e-09,-2
car2,-3.84,-4,-2.7,0,3
car3,15.9525,3.87978,9.9,-0.0083335,0
car1,17.4846,0.000123957,4.38335,7.45058e-09,-2
car2,-3.93,-4,-2.6,0,3
car3,16.2825,3.87703,9.9,-0.0083335,0
car1,17.6308,0.000123958,4.31668,7.45058e-09,-2
car2,-4.01667,-4,-2.5,0,3
car3,16.6125,3.87428,9.9,-0.0083335,0
car1,17.7746,0.000123959,4.25001,7.45058e-09,-2
car2,-4.1,-4,-2.4,0,3
car3,16.9425,3.87153,9.9,-0.0083335,0
car1,17.9163,0.00012396,4.18335,7.45058e-09,-2
car2,-4.18,-4,-2.3,0,3
car3,17.2724,3.86878,9.9,-0.0083335,0
car1,18.0558,0.000123961,4.11668,7.45058e-09,-2
car2,-4.25667,-4,-2.2,0,3
car3,17.6024,3.86603,9.9,-0.0083335,0
car1,18.193,0.000123962,4.05001,7.45058e-09,-2
car2,-4.33,-4,-2.1,0,3
car3,17.9324,3.86328,9.9,-0.0083335,0
car1,18.328,0.000123963,3.98335,7.45058e-09,-2
car2,-4.4,-4,-2,0,3
car3,18.2624,3.86053,9.9,-0.0083335,0
car1,18.4608,0.000123964,3.91668,7.45058e-09,-2
car2,-4.46667,-4,-1.9,0,3
car3,18.5924,3.85778,9.9,-0.0083335,0
car1,18.5913,0.000123965,3.85001,7.45058e-09,-2
car2,-4.53001,-4,-1.8,0,3
car3,18.9224,3.85503,9.9,-0.0083335,0
car1,18.7196,0.000123966,3.78335,7.45058e-09,-2
car2,-4.59001,-4,-1.7,0,3
car3,19.2524,3.85228,9.9,-0.0083335,0
car1,18.8458,0.000123967,3.71668,7.45058e-09,-2
car2,-4.64667,-4,-1.6,0,3
car3,19.5824,3.84953,9.9,-0.0083335,0
car1,18.9696,0.000123968,3.65001,7.45058e-09,-2
car2,-4.70001,-4,-1.5,0,3
car3,19.9124,3.84678,9.9,-0.0083335,0
car1,19.0913,0.000123969,3.58335,7.45058e-09,-2
car2,-4.75001,-4,-1.4,0,3
car3,20.2423,3.84403,9.83334,-0.0083335,-2
car1,19.2108,0.00012397,3.51668,7.45058e-09,-2
car2,-4.79667,-4,-1.3,0,3
car3,20.5701,3.8413,9.76667,-0.0083335,-2
car1,19.328,0.000123971,3.45001,7.45058e-09,-2
car2,-4.84001,-4,-1.2,0,3
car3,20.8957,3.83858,9.7,-0.0083335,-2
car1,19.443,0.000123972,3.38335,7.45058e-09,-2
car2,-4.88001,-4,-1.1,0,3
car3,21.219,3.83589,9.63334,-0.0083335,-2
car1,19.5558,0.000123973,3.31668,7.45058e-09,-2
car2,-4.91667,-4,-1,0,3
car3,21.5401,3.83321,9.56667,-0.0083335,-2
car1,19.6663,0.000123973,3.25001,7.45058e-09,-2
car2,-4.95001,-4,-0.900004,0,3
car3,21.859,3.83056,9.5,-0.0083335,-2
car1,19.7746,0.000123974,3.18335,7.45058e-09,-2
car2,-4.98001,-4,-0.800004,0,3
car3,22.1756,3.82792,9.43334,-0.0083335,-2
car1,19.8808,0.000123975,3.11668,7.45058e-09,-2
car2,-5.00667,-4,-0.700004,0,3
car3,22.49,3.8253,9.36667,-0.0083335,-2
car1,19.9847,0.000123976,3.05001,7.45058e-09,-2
car2,-5.03001,-4,-0.600003,0,3
car3,22.8023,3.8227,9.3,-0.0083335,-2
car1,20.0863,0.000123977,2.98335,7.45058e-09,-2
car2,-5.05001,-4,-0.500003,0,3
car3,23.1122,3.82011,9.23334,-0.0083335,-2
car1,20.1858,0.000123977,2.91668,7.45058e-09,-2
car2,-5.06667,-4,-0.400003,0,3
car3,23.42,3.81755,9.16667,-0.0083335,-2
car1,20.283,0.000123978,2.85001,7.45058e-09,-2
car2,-5.08001,-4,-0.300003,0,3
car3,23.7256,3.815,9.1,-0.0083335,-2
car1,20.378,0.000123979,2.78335,7.45058e-09,-2
car2,-5.09001,-4,-0.200003,0,3
car3,24.0289,3.81247,9.03334,-0.0083335,-2
car1,20.4708,0.000123979,2.71668,7.45058e-09,-2
car2,-5.09667,-4,-0.100003,0,3
car3,24.33,3.80996,8.96667,-0.0083335,-2
car1,20.5613,0.00012398,2.65001,7.45058e-09,-2
car2,-5.10001,-4,-3.38256e-06,0,3
car3,24.6289,3.80747,8.9,-0.0083335,-2
car1,20.6497,0.000123981,2.58335,7.45058e-09,-2
car2,-5.10001,-4,0.0999966,0,3
car3,24.9255,3.805,8.83334,-0.0083335,-2
car1,20.7358,0.000123981,2.51668,7.45058e-09,-2
car2,-5.09667,-4,0.199997,0,3
car3,25.2199,3.80255,8.76667,-0.0083335,-2
car1,20.8197,0.000123982,2.45001,7.45058e-09,-2
car2,-5.09001,-4,0.299997,0,3
car3,25.5122,3.80011,8.7,-0.0083335,-2
car1,20.9013,0.000123983,2.38335,7.45058e-09,-2
car2,-5.08001,-4,0.399997,0,3
car3,25.8022,3.7977,8.63334,-0.0083335,-2
car1,20.9808,0.000123983,2.31668,7.45058e-09,-2
car2,-5.06667,-4,0.499997,0,3
car3,26.0899,3.7953,8.56667,-0.0083335,-2
car1,21.058,0.000123984,2.25001,7.45058e-09,-2
car2,-5.05001,-4,0.599997,0,3
car3,26.3755,3.79292,8.5,-0.0083335,-2
car1,21.133,0.000123984,2.18335,7.45058e-09,-2
car2,-5.03001,-4,0.699997,0,3
car3,26.6588,3.79056,8.43334,-0.0083335,-2
car1,21.2058,0.000123985,2.11668,7.45058e-09,-2
car2,-5.00667,-4,0.799997,0,3
car3,26.9399,3.78821,8.36667,-0.0083335,-2
car1,21.2763,0.000123985,2.05001,7.45058e-09,-2
car2,-4.98001,-4,0.899997,0,3
car3,27.2188,3.78589,8.3,-0.0083335,-2
car1,21.3447,0.000123986,1.98335,7.45058e-09,-2
car2,-4.95001,-4,0.999997,0,3
car3,27.4954,3.78358,8.23334,-0.0083335,-2
car1,21.4108,0.000123986,1.91668,7.45058e-09,-2
car2,-4.91668,-4,1.1,0,3
car3,27.7699,3.7813,8.16667,-0.0083335,-2
car1,21.4747,0.000123987,1.85001,7.45058e-09,-2
car2,-4.88001,-4,1.2,0,3
car3,28.0421,3.77903,8.10001,-0.0083335,-2
car1,21.5363,0.000123987,1.78335,7.45058e-09,-2
car2,-4.84001,-4,1.3,0,3
car3,28.3121,3.77678,8.03334,-0.0083335,-2
car1,21.5958,0.000123988,1.71668,7.45058e-09,-2
car2,-4.79668,-4,1.4,0,3
car3,28.5798,3.77455,7.96667,-0.0083335,-2
car1,21.653,0.000123988,1.65001,7.45058e-09,-2
car2,-4.75001,-4,1.5,0,3
car3,28.8454,3.77233,7.90001,-0.0083335,-2
car1,21.708,0.000123989,1.58335,7.45058e-09,-2
car2,-4.70001,-4,1.6,0,3
car3,29.1087,3.77014,7.83334,-0.0083335,-2
car1,21.7608,0.000123989,1.51668,7.45058e-09,-2
car2,-4.64668,-4,1.7,0,3
car3,29.3698,3.76796,7.76667,-0.0083335,-2
car1,21.8113,0.000123989,1.45001,7.45058e-09,-2
car2,-4.59001,-4,1.8,0,3
car3,29.6287,3.76581,7.70001,-0.0083335,-2
car1,21.8597,0.00012399,1.38335,7.45058e-09,-2
car2,-4.53001,-4,1.9,0,3
car3,29.8853,3.76367,7.63334,-0.0083335,-2
